name,Specification
GEH2 Hydrogen Generator,"name:GEH2 Hydrogen Generator,length:3350mm,breadth:2200mm,thickness:1100mm,manufacturer:manufacturer,seller_alias:netzero.bluedm,category:Hydrogen Generation System,country:Australia,product_url:http://hyvrse.com/product/00733fd73ff346fdbb8daec2f4fb99b0"
PowiDian MobHyl Power® M110 - H2 Generators,"name:PowiDian MobHyl Power® M110 - H2 Generators,seller_alias:h2generators,category:Hydrogen Generation System,country:UK,product_url:http://hyvrse.com/product/89e83eb8054542b68edc8c9763bb7c62"
PowiDian MobHyl Power® S4 - H2 Generators,"name:PowiDian MobHyl Power® S4 - H2 Generators,seller_alias:h2generators,category:Hydrogen Generation System,country:UK,product_url:http://hyvrse.com/product/7cc6353cbbba4eac8d7772e602f6fcc0"
HydroBuffer2,"name:HydroBuffer2,seller_alias:mpowertech,category:Hydrogen Generation System,country:Polland,product_url:http://hyvrse.com/product/3f68aef813fd46a2935d676381a65901"
Fuel Cell Test Station PBT,"name:Fuel Cell Test Station PBT,seller_alias:lean-cat,category:Hydrogen Generation System,sub_category:Fuel Cell Testing Equipments,country:Czech Republic,product_url:http://hyvrse.com/product/22ddc77934854d759b58aacb7f44f81e"
Fuel Cell Test Station PTS-100,"name:Fuel Cell Test Station PTS-100,seller_alias:lean-cat,category:Hydrogen Generation System,sub_category:Fuel Cell Testing Equipments,country:Czech Republic,product_url:http://hyvrse.com/product/dd5f89863b434e11823a7c01caf025d6"
H2SYS Boxhy®5 - H2 Generators,"name:H2SYS Boxhy®5 - H2 Generators,seller_alias:h2generators,category:Hydrogen Generation System,country:UK,product_url:http://hyvrse.com/product/242ea0e9abef4fd1b07c9cf00b80a91e"
H2SYS Thytan® 50 - H2 Generators,"name:H2SYS Thytan® 50 - H2 Generators,seller_alias:h2generators,category:Hydrogen Generation System,country:UK,product_url:http://hyvrse.com/product/e236b3817824493dba26dcf04311774c"
Fuel Cell Test Station PTS-10,"name:Fuel Cell Test Station PTS-10,seller_alias:lean-cat,category:Hydrogen Generation System,sub_category:Fuel Cell Testing Equipments,country:Czech Republic,product_url:http://hyvrse.com/product/2ac9afeb5daf42079289c18fa3ebb3ab"
Hydrogen Dispensing System,"name:Hydrogen Dispensing System,seller_alias:gilbarco,category:Hydrogen Dispenser,country:USA,product_url:http://hyvrse.com/product/439db15a0d574c08bc56f735d27423bb"
H2SYS Thytan® 130 - H2 Generators,"name:H2SYS Thytan® 130 - H2 Generators,seller_alias:h2generators,category:Hydrogen Generation System,country:UK,product_url:http://hyvrse.com/product/3db648b3da0e4c79b70c250abc73afc2"
Hydrogen Dispenser,"name:Hydrogen Dispenser,seller_alias:nelhydrogen,category:Hydrogen Dispenser,country:Norway,product_url:http://hyvrse.com/product/b127312918fe445a8bd9a4182da8758a"
VP600-18W160-HP,"name:VP600-18W160-HP,length:98mm,breadth:261mm,thickness:424mm,seller_alias:aradex,category:Fuel Cell Components,sub_category:Inverters,country:Germany,product_url:http://hyvrse.com/product/d50a3e31e79b496f84a86f413ef9df3f"
VP600-28W344,"name:VP600-28W344,length:136mm,breadth:529mm,thickness:470mm,seller_alias:aradex,category:Fuel Cell Components,sub_category:Inverters,country:Germany,product_url:http://hyvrse.com/product/9c23f99e3d764eb88e4b73bf3b58c1be"
VP600-28W345,"name:VP600-28W345,length:136mm,breadth:529mm,thickness:470mm,seller_alias:aradex,category:Fuel Cell Components,sub_category:Inverters,country:Germany,product_url:http://hyvrse.com/product/94766bc36e2c4a109ab0dace8264438a"
VP600-18W140-HP,"name:VP600-18W140-HP,length:98mm,breadth:261mm,thickness:424mm,seller_alias:aradex,category:Fuel Cell Components,sub_category:Inverters,country:Germany,product_url:http://hyvrse.com/product/c251b5f76f2340b985ec219457109ca7"
VP600-18W369,"name:VP600-18W369,length:136mm,breadth:529mm,thickness:470mm,seller_alias:aradex,category:Fuel Cell Components,sub_category:Inverters,country:Germany,product_url:http://hyvrse.com/product/26a683c2492b40c384d6f36e640dd571"
VP600-18W340,"name:VP600-18W340,length:131mm,breadth:266mm,thickness:421mm,seller_alias:aradex,category:Fuel Cell Components,sub_category:Inverters,country:Germany,product_url:http://hyvrse.com/product/66e97755eb7a45379d3a1efe48cc4b51"
VP600-18W361,"name:VP600-18W361,length:131mm,breadth:266mm,thickness:421mm,seller_alias:aradex,category:Fuel Cell Components,sub_category:Inverters,country:Germany,product_url:http://hyvrse.com/product/65ea86ef21c742958dbecb8c41291a05"
VP600-18W268,"name:VP600-18W268,length:168mm,breadth:566mm,thickness:470mm,seller_alias:aradex,category:Fuel Cell Components,sub_category:Inverters,country:Germany,product_url:http://hyvrse.com/product/6e60becae0a545c6b94ae93fa38741a9"
VP600-18W368,"name:VP600-18W368,length:136mm,breadth:529mm,thickness:470mm,seller_alias:aradex,category:Fuel Cell Components,sub_category:Inverters,country:Germany,product_url:http://hyvrse.com/product/506b76dfc8f944d891830ca1b0f1d54e"
VP600-18W360,"name:VP600-18W360,length:131mm,breadth:266mm,thickness:421mm,seller_alias:aradex,category:Fuel Cell Components,sub_category:Inverters,country:Germany,product_url:http://hyvrse.com/product/487e99c39ad24b0a852a356d3346afa8"
VP600-18W130-HP,"name:VP600-18W130-HP,length:98mm,breadth:261mm,thickness:424mm,seller_alias:aradex,category:Fuel Cell Components,sub_category:Inverters,country:Germany,product_url:http://hyvrse.com/product/a10e7ecf777a48f3b75db2555ab2c7f8"
VP5000-DCDC60,"name:VP5000-DCDC60,length:127mm,breadth:525mm,thickness:480mm,seller_alias:aradex,category:Fuel Cell Components,sub_category:Converters,product_url:http://hyvrse.com/product/c7e71e278796456cae510c2bc682f9fb"
VP5000-DCDC200,"name:VP5000-DCDC200,length:271mm,breadth:529mm,thickness:414mm,seller_alias:aradex,category:Fuel Cell Components,sub_category:Converters,product_url:http://hyvrse.com/product/a4c5b7a3b5054e8bbadcbcca9649d2cb"
VP5000-FCDC500,"name:VP5000-FCDC500,length:120mm,breadth:530mm,thickness:560mm,seller_alias:aradex,category:Fuel Cell Components,sub_category:Converters,product_url:http://hyvrse.com/product/9e64df4d99474947be9f0249a55c4ceb"
VP5000-DCDC200HL,"name:VP5000-DCDC200HL,length:271mm,breadth:529mm,thickness:414mm,seller_alias:aradex,category:Fuel Cell Components,sub_category:Converters,product_url:http://hyvrse.com/product/59d4215a879445f3b4649c9b8c84d643"
Precision SL 100 Hydrogen Generator,"name:Precision SL 100 Hydrogen Generator,length:250mm,breadth:160mm,thickness:355mm,seller_alias:peakscientific,category:Hydrogen Generator System,country:UK,product_url:http://hyvrse.com/product/dff736f9aaa14dc48077635785ada297"
Precision Hydrogen 300 H2 Generator,"name:Precision Hydrogen 300 H2 Generator,length:406mm,breadth:380mm,thickness:540mm,seller_alias:peakscientific,category:Hydrogen Generator System,country:UK,product_url:http://hyvrse.com/product/2603038200a64a21a2719453054bbbf1"
